# Taxa	A2	A5	A7	A9	A10	A11	A16	A17	A18	A19	A22	A23	B6	B8	B12	B28	B29	B30	B32	B34	B35a	B35b	B37	B39	B42	B44	B47	B49	B51	C53	C54	C57	C60	C62
Klebsiella_oxytoca	0.0001985	0.0001722	0.0001953	0.000714	0.0010309	0.0005152	0.7625885	0.0017303	6.98E-05	0.0013715	0	0.0255784	0.0105828	0.0003799	0.0004299	0.0006611	0.0001834	0.0354232	0.1825613	0.0001031	0.0038731	0.4938789	0.0002606	0.3161841	0.176533	0	0	0	0.0001241	0	0.0094056	0.0051589	0.7282718	0.0005102
Stenotrophomonas_maltophilia	0.0008724	0.0171423	0.000144	0.3878924	0.0035546	0.0178928	0.0005721	0.5559988	0.0003004	0.0984039	0.3869986	0.0603225	0.010902	0.088584	0.0007895	0.0037068	0.0001648	0.4132202	0.0013406	0.0007871	0.0004041	0.0005429	0.0037161	0.3321295	0.0005911	6.43E-05	0	0	7.94E-05	0.0001629	0	0.116649	0	0
Rothia_mucilaginosa	0.1047109	0.0046396	0.0858516	2.35E-05	0.1562968	0.2614826	0.0946721	0	0.0018167	0.0005115	0.0045747	0.1631157	0.1018311	0.0003888	0.0078266	0.031347	0.0233839	0.0002949	0.005878	0.0047699	0.1141874	0.0386652	0.0195285	0.1418092	0.1143047	0.023958	0.0470889	0.2191014	0.0037802	0.002455	0.0378749	0	0.115909	0.0948402
Enterobacter_cloacae	0.0006088	0.2372858	0.0003534	0.0014876	0.0012054	0.0108039	0.0053876	0.0004628	5.97E-05	0.3278976	0.44371	0.0137405	0.0008124	0.026477	0.5111203	0	1.81E-05	5.47E-05	0	0	2.72E-05	0.0086441	0.047831	0	0	0	0.0162141	0	0	0	0	0.0103906	0	0.0002123
Veillonella_unclassified	0.12802	0.003929	0.206947	0.0003218	0.0263329	0.1807546	0.0009568	3.75E-05	0.0007669	0.001173	0.0002217	0	0.0577872	0.0004079	0.0033735	0	0.0082312	0.0001165	0.0015249	0.0500741	0.1336758	0.023161	0.0193227	0.0334503	0.0639903	0.1245737	0.0331615	0.1984742	0.0011697	0.0001818	0.1404029	0.0001061	0.0044182	0.0159523
Streptococcus_sanguinis	0.0712464	0.0007255	0.0045061	0.0021421	0.0894494	0.0004077	0.0161922	0	0.0120601	0.0094699	0	0.0521934	0.058303	0.0014264	0.0798603	0.0702401	0.0037687	0.0002417	0.0064555	0.0741567	0.1292734	0.0777301	0.001972	0.0013539	0.0243953	0.107354	0.2458042	0.0405308	0.0047943	8.84E-05	0.1013578	0.0002348	0.0125513	0.1441439
Brevundimonas_diminuta	0.0005217	0.0026278	4.54E-05	0.0012714	0.0025279	0.0127697	0.000113	0.0405961	0.9207835	0.0357123	0	0.0168556	0	0.0221233	0	0	0	0.0003991	0	0	0.0005687	0	0	0	0	0	0	0	0	0	0	0.05184	0.0004313	0
Acinetobacter_ursingii	0	0	0	0.0011653	0	0	0.0004713	0	0	0.0055988	0.1231034	0	0.0003978	0.0012143	0	0	0	0	0	0	0	0.0001545	0.6462209	0	0	0	0	0	0.0010841	0.2563524	0	0.0100785	0	0
Pseudomonas_unclassified	0	0.0146339	0.003132	0	0.0029951	0	0.0036262	0.0370444	0	0.0008171	0.0048762	0	0.0531021	0	0.0021191	0.0110408	0.000336	0	0.0024428	0	0	0.0006125	0.1640913	0	0.0006911	0	0.086055	0	0.5411015	0.0320642	0.02514	0	0	0
Kocuria_rhizophila	0	0	0	0	0.0015174	0	0	0	0.0210619	0	0.0086435	0	0.006375	0.0001805	0.2047083	0.0012931	0.6417246	0.0106353	0.0013032	6.25E-05	0.0002159	0.0004702	0.0008345	0.0002333	0.0314565	0	0	0	0.004277	0.0007044	0	0	0	0.0116973
