	patA__Streptococcus_pneumoniae_TIGR4_	mefA__Exiguobacterium_sp__S3-2_	rpsJ__Neisseria_gonorrhoeae_FA_1090_	tetB(60)__uncultured_bacterium_	ErmB__Enterococcus_faecium_	Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_Pulvomycin__Escherichia_coli_CFT073_	tetA(60)__uncultured_bacterium_	Haemophilus_parainfluenzae_gyrA_conferring_resistance_to_fluoroquinolones__Haemophilus_parainfluenzae_	tetB(46)__Streptococcus_australis_	ErmF__Bacteroides_fragilis_	CfxA6__uncultured_organism_	tetA(46)__Streptococcus_australis_	Planobispora_rosea_EF-Tu_mutants_conferring_resistance_to_inhibitor_GE2270A__Planobispora_rosea_	Haemophilus_parainfluenzae_parC_conferring_resistance_to_fluoroquinolones__Haemophilus_parainfluenzae_	Streptococcus_mitis_CdsA_with_mutation_conferring_daptomycin_resistance__Streptococcus_oralis_	msbA__Escherichia_coli_str__K-12_substr__MG1655_	oqxB__Escherichia_coli_	tetO__Campylobacter_jejuni_	Escherichia_coli_gyrB_conferring_resistance_to_aminocoumarin__Escherichia_coli_str__K-12_substr__W3110_	patB__Streptococcus_pneumoniae_TIGR4_	CRP__Escherichia_coli_str__K-12_substr__W3110_	bacA__Escherichia_coli_str__K-12_substr__MG1655_	Escherichia_coli_PtsI_with_mutation_conferring_resistance_to_fosfomycin__Escherichia_coli_str__K-12_substr__MC4100_	tet(B)__Gram-negative_bacterium_TC71_	emrR__Escherichia_coli_str__K-12_substr__MG1655_	lsaC__Streptococcus_agalactiae_	mel__Bacteria_	ErmX__Corynebacterium_striatum_	vgaC__Enterobacter_cloacae_	Klebsiella_mutant_PhoP_conferring_antibiotic_resistance_to_colistin__Klebsiella_pneumoniae_	Escherichia_coli_parC_conferring_resistance_to_fluoroquinolone__Escherichia_coli_str__K-12_substr__MG1655_	antibiotic_resistant_fabI__Escherichia_coli_str__K-12_substr__MG1655_	ACT-35__Enterobacter_cloacae_	marA__Escherichia_coli_str__K-12_substr__W3110_	LpxC__Acinetobacter_baumannii_	smeD__Stenotrophomonas_maltophilia_	smeF__Stenotrophomonas_maltophilia_	Escherichia_coli_parE_conferring_resistance_to_fluoroquinolones__Proteobacteria_	Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin__Escherichia_coli_str__K-12_substr__MC4100_	smeR__Stenotrophomonas_maltophilia_	OXY-6-3__Klebsiella_oxytoca_	smeB__Stenotrophomonas_maltophilia_	smeC__Stenotrophomonas_maltophilia_	APH(6)-Id__Pseudomonas_aeruginosa_	APH(3__)-Ib__Pseudomonas_aeruginosa_	TEM-126__Escherichia_coli_	smeA__Stenotrophomonas_maltophilia_	smeS__Stenotrophomonas_maltophilia_	OprM__Pseudomonas_aeruginosa_PAO1_	MexT__Pseudomonas_aeruginosa_PAO1_	Pseudomonas_aeruginosa_gyrA_conferring_resistance_to_fluoroquinolones__Pseudomonas_aeruginosa_PAO1_	nalD__Pseudomonas_aeruginosa_PAO1_	Escherichia_coli_CyaA_with_mutation_conferring_resistance_to_fosfomycin__Escherichia_coli_str__K-12_substr__MC4100_	MexB__Pseudomonas_aeruginosa_	adeL__Acinetobacter_baumannii_	MuxB__Pseudomonas_aeruginosa_PAO1_	antibiotic_resistant_fabG__Escherichia_coli_str__K-12_substr__MG1655_	sul1__Vibrio_fluvialis_	cpxA__Escherichia_coli_O157_H7_str__Sakai_	MexC__Pseudomonas_aeruginosa_	mexK__Pseudomonas_aeruginosa_PAO1_	mexV__Pseudomonas_aeruginosa_PAO1_	OXA-50__Pseudomonas_aeruginosa_	PDC-8__Pseudomonas_aeruginosa_	MexS__Pseudomonas_aeruginosa_PAK_	basS__Pseudomonas_aeruginosa_	FosA5__Escherichia_coli_	mexY__Pseudomonas_aeruginosa_PAO1_	opmE__Pseudomonas_aeruginosa_	APH(3_)-IIb__Pseudomonas_aeruginosa_	smeE__Stenotrophomonas_maltophilia_	adeG__Acinetobacter_baumannii_AYE_	TriA__Pseudomonas_aeruginosa_PAO1_	TriB__Pseudomonas_aeruginosa_PAO1_	TriC__Pseudomonas_aeruginosa_PAO1_	Pseudomonas_mutant_PhoQ_conferring_resistance_to_colistin__Pseudomonas_aeruginosa_PAO1_	mexZ__Pseudomonas_aeruginosa_PAO1_	Pseudomonas_aeruginosa_soxR__Pseudomonas_aeruginosa_PAO1_	MuxA__Pseudomonas_aeruginosa_PAO1_	arnA__Pseudomonas_aeruginosa_PAO1_	mexJ__Pseudomonas_aeruginosa_PAO1_	mexL__Pseudomonas_aeruginosa_PAO1_	nalC__Pseudomonas_aeruginosa_PAO1_	Type_A_NfxB__Pseudomonas_aeruginosa_PAO1_	Pseudomonas_aeruginosa_emrE__Pseudomonas_aeruginosa_PAO1_	Klebsiella_pneumoniae_OmpK35__Klebsiella_pneumoniae_subsp__pneumoniae_HS11286_
patA__Streptococcus_pneumoniae_TIGR4_	0.0	0.741336621328	0.697391473011	0.551704647084	0.824063293853	0.696594502223	0.669752118628	0.824460263917	0.658969759293	0.745898566266	0.853410199109	0.645261572298	0.790015180436	0.801276405835	0.828648560997	0.748815043449	0.804944209544	0.760520254509	0.706396365177	0.692720384523	0.773468673156	0.81324512929	0.811422436132	0.801276405835	0.792056663154	0.828166576662	0.745099431088	0.811862399812	0.815806453192	0.838362353266	0.779823989572	0.859346663927	0.826581269638	0.869038432419	0.848013861609	0.82072256746	0.806687945581	0.85790591422	0.82789201768	0.813226760021	0.869499172159	0.799243171276	0.799243171276	0.797516890015	0.811103866245	0.801276405835	0.747047505286	0.747047505286	0.747047505286	0.747047505286	0.700038388709	0.646732365101	0.820786374748	0.755926853234	0.685850671921	0.779754154163	0.804830828218	0.780870260052	0.780870260052	0.780870260052	0.780870260052	0.780870260052	0.780870260052	0.796531462892	0.780870260052	0.780870260052	0.820935878728	0.780870260052	0.780870260052	0.796531462892	0.780870260052	0.796531462892	0.780870260052	0.780870260052	0.780870260052	0.780870260052	0.780870260052	0.780870260052	0.780870260052	0.764566083202	0.780870260052	0.780870260052	0.780870260052	0.780870260052	0.780870260052	0.784972228984
mefA__Exiguobacterium_sp__S3-2_	0.741336621328	0.0	0.793961409357	0.701766113606	0.744697458814	0.679033582387	0.765721033647	0.722527662546	0.730006489316	0.776768418826	0.833105643542	0.700586927424	0.840522155684	0.803547146167	0.790473729339	0.757145112353	0.747547958604	0.891817923827	0.748131663452	0.76842810779	0.692384284351	0.771222806051	0.701629954824	0.810695221615	0.825323621769	0.803547146167	0.829518147277	0.794577346507	0.781609654715	0.814699769214	0.863797964381	0.884285069348	0.807613826131	0.807613826131	0.808254791901	0.68594058957	0.68594058957	0.715524547327	0.79733493418	0.728011460103	0.824412375199	0.757108250606	0.757108250606	0.765751836873	0.765751836873	0.826177469736	0.784374378399	0.784374378399	0.784374378399	0.771844777573	0.784374378399	0.784374378399	0.81113042118	0.81113042118	0.81113042118	0.786682116302	0.797147256017	0.797996816786	0.843154949973	0.843154949973	0.843154949973	0.843154949973	0.843154949973	0.843154949973	0.843154949973	0.843154949973	0.810059594629	0.843154949973	0.843154949973	0.843154949973	0.843154949973	0.843154949973	0.843154949973	0.843154949973	0.843154949973	0.843154949973	0.843154949973	0.843154949973	0.843154949973	0.821092733757	0.843154949973	0.843154949973	0.843154949973	0.843154949973	0.843154949973	0.781878941679
rpsJ__Neisseria_gonorrhoeae_FA_1090_	0.697391473011	0.793961409357	0.0	0.801717735302	0.8495862711	0.826221303891	0.788900337819	0.686557199734	0.687837669543	0.714754484186	0.886136587847	0.735447543965	0.831291934924	0.802446001231	0.803684103639	0.89891704408	0.872388017801	0.82722538835	0.781069971571	0.817157335278	0.782811320205	0.867362692467	0.815711128995	0.71909716124	0.84294172237	0.821827391595	0.835930189305	0.813231988064	0.84094734775	0.864804334295	0.914302620596	0.914302620596	0.910710125909	0.874654027198	0.891200068698	0.895614247073	0.840578721212	0.88755795139	0.896226305245	0.829702951412	0.929891595334	0.777310792107	0.777310792107	0.80585428499	0.80585428499	0.868777120186	0.813060716425	0.813060716425	0.851950699183	0.819742551001	0.778638638151	0.813060716425	0.897028761045	0.815211736536	0.861084131851	0.861084131851	0.897028761045	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.913057122898	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.868777120186	0.913057122898
tetB(60)__uncultured_bacterium_	0.551704647084	0.701766113606	0.801717735302	0.0	0.736418558688	0.756878930515	0.644617033965	0.855825672982	0.47264098187	0.692812932276	0.840210127676	0.702302524479	0.715889621989	0.744388373152	0.831871326825	0.785103766867	0.858681263815	0.77806763427	0.843636723304	0.69866552531	0.806894085822	0.828325540416	0.87364624863	0.744388373152	0.87891927215	0.813231988064	0.702624127023	0.802446001231	0.862374086904	0.856894418032	0.83067065254	0.863617822772	0.882434812438	0.839745165887	0.853867256718	0.853867256718	0.853867256718	0.840578721212	0.904644604861	0.863801396023	0.890845932974	0.865081877638	0.865081877638	0.80585428499	0.84426968325	0.821827391595	0.851950699183	0.851950699183	0.851950699183	0.851950699183	0.778333441853	0.836884129732	0.897028761045	0.84426968325	0.897028761045	0.897028761045	0.861084131851	0.868777120186	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.868777120186	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.821827391595
ErmB__Enterococcus_faecium_	0.824063293853	0.744697458814	0.8495862711	0.736418558688	0.0	0.805664059688	0.779321570998	0.765661160604	0.828555122853	0.687498032979	0.74980361652	0.776426983176	0.861344698963	0.800396953873	0.834288035749	0.875620674354	0.876282479186	0.928133598744	0.797439368868	0.833144409063	0.854633775336	0.892566535247	0.862703217138	0.724393206342	0.872694297932	0.735552057228	0.855676469016	0.735552057228	0.919929347511	0.898203264707	0.932497660554	0.918434296595	0.907531438116	0.863366040214	0.864201644279	0.864201644279	0.864201644279	0.852823231892	0.900771319201	0.881353214975	0.898068319433	0.89768442977	0.89768442977	0.852069377468	0.852069377468	0.925247333353	0.84749568626	0.84749568626	0.84749568626	0.809736543721	0.794149133457	0.84749568626	0.77725986069	0.77725986069	0.852069377468	0.852069377468	0.807674697019	0.854023842618	0.854023842618	0.925247333353	0.925247333353	0.925247333353	0.925247333353	0.854023842618	0.925247333353	0.925247333353	0.800396953873	0.925247333353	0.925247333353	0.854023842618	0.925247333353	0.854023842618	0.925247333353	0.925247333353	0.925247333353	0.925247333353	0.925247333353	0.925247333353	0.925247333353	0.925247333353	0.925247333353	0.925247333353	0.925247333353	0.925247333353	0.925247333353	0.874075234149
Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_Pulvomycin__Escherichia_coli_CFT073_	0.696594502223	0.679033582387	0.826221303891	0.756878930515	0.805664059688	0.0	0.801206074265	0.799904599664	0.814012526207	0.791243851988	0.860912436517	0.757710493371	0.853410199109	0.808507103769	0.891664674732	0.632785580564	0.688950034858	0.703120654413	0.699321265147	0.763071103284	0.53667139434	0.690131032212	0.754867805203	0.801276405835	0.769209737594	0.801276405835	0.765431885226	0.843827779502	0.750793271157	0.829753171592	0.748516020127	0.739957806559	0.85774076835	0.84893835085	0.766440746147	0.68650405402	0.68650405402	0.788939991298	0.797434314403	0.72924964501	0.773245417987	0.72787075673	0.72787075673	0.811103866245	0.783372097588	0.784972228984	0.701294789779	0.701294789779	0.715901575348	0.738061669017	0.778193435224	0.766018839086	0.760043358692	0.791243851988	0.766316396719	0.760043358692	0.733155930533	0.784972228984	0.801276405835	0.801276405835	0.801276405835	0.801276405835	0.801276405835	0.801276405835	0.801276405835	0.801276405835	0.801276405835	0.801276405835	0.801276405835	0.801276405835	0.801276405835	0.792202926919	0.801276405835	0.801276405835	0.801276405835	0.801276405835	0.801276405835	0.801276405835	0.801276405835	0.828166576662	0.801276405835	0.801276405835	0.801276405835	0.801276405835	0.801276405835	0.828166576662
tetA(60)__uncultured_bacterium_	0.669752118628	0.765721033647	0.788900337819	0.644617033965	0.779321570998	0.801206074265	0.0	0.780676348243	0.646537959472	0.714754484186	0.754343330029	0.640649202453	0.771294688395	0.744388373152	0.790366011688	0.858681263815	0.929492106715	0.605513444261	0.798511513592	0.552271418933	0.850968321418	0.887103904339	0.85018615734	0.763769763516	0.923715369024	0.849395729822	0.776814366342	0.802446001231	0.855326241453	0.895562755736	0.843116944872	0.913681282813	0.882434812438	0.839745165887	0.853867256718	0.839390861192	0.839390861192	0.840578721212	0.904644604861	0.848674513932	0.823726033107	0.849056735226	0.849056735226	0.861084131851	0.861084131851	0.802446001231	0.836884129732	0.836884129732	0.851950699183	0.851950699183	0.819742551001	0.819742551001	0.897028761045	0.861084131851	0.861084131851	0.897028761045	0.84426968325	0.868777120186	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.849395729822	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.849395729822
Haemophilus_parainfluenzae_gyrA_conferring_resistance_to_fluoroquinolones__Haemophilus_parainfluenzae_	0.824460263917	0.722527662546	0.686557199734	0.855825672982	0.765661160604	0.799904599664	0.780676348243	0.0	0.790154441085	0.641715983779	0.586081413085	0.669311052781	0.674657895412	0.680136991272	0.873841988058	0.854057243876	0.861982884986	0.823187542438	0.77246357486	0.858245862004	0.790177199855	0.896845732374	0.747768992682	0.7089359994	0.888932973542	0.853595436335	0.755930586272	0.599599121688	0.835322727731	0.879354218815	0.861821899859	0.835299905588	0.895644866096	0.90450481706	0.866023358632	0.866023358632	0.866023358632	0.910028596928	0.911072541491	0.880353942541	0.935224577096	0.893783665695	0.893783665695	0.875375614519	0.875375614519	0.853595436335	0.918569168941	0.918569168941	0.855529019947	0.87268526606	0.87268526606	0.918569168941	0.928803056433	0.928803056433	0.928803056433	0.928803056433	0.761373160626	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.744258558622	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.939680215057	0.744258558622
tetB(46)__Streptococcus_australis_	0.658969759293	0.730006489316	0.687837669543	0.47264098187	0.828555122853	0.814012526207	0.646537959472	0.790154441085	0.0	0.714754484186	0.819298559152	0.544265913531	0.713446408933	0.744388373152	0.857710720127	0.872388017801	0.937584179428	0.843994442069	0.800751521297	0.645402065175	0.833435992975	0.884263213089	0.85018615734	0.744388373152	0.87891927215	0.813231988064	0.725717925572	0.802446001231	0.884516486315	0.825773357308	0.895942887074	0.879283744607	0.874654027198	0.874654027198	0.839390861192	0.853867256718	0.853867256718	0.876723673172	0.896226305245	0.863801396023	0.937033332331	0.865081877638	0.865081877638	0.861084131851	0.861084131851	0.802446001231	0.851950699183	0.851950699183	0.836884129732	0.851950699183	0.80467598155	0.836884129732	0.897028761045	0.84426968325	0.897028761045	0.897028761045	0.84426968325	0.849395729822	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.849395729822	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.913057122898	0.849395729822
ErmF__Bacteroides_fragilis_	0.745898566266	0.776768418826	0.714754484186	0.692812932276	0.687498032979	0.791243851988	0.714754484186	0.641715983779	0.714754484186	0.0	0.573051565104	0.6647979769	0.573051565104	0.415398472954	0.615429783524	0.847049423473	0.807280024741	0.738790462481	0.885611041798	0.561189547309	0.860564099315	0.858054502268	0.904624738107	0.415398472954	0.917996976818	0.696127437394	0.656292738639	0.696127437394	0.856229064974	0.875375614519	0.932026813096	0.872415396446	0.938387155213	0.938387155213	0.944431686668	0.944431686668	0.944431686668	0.944431686668	0.950178034187	0.950178034187	0.950178034187	0.955608295815	0.955608295815	0.73057560535	0.73057560535	0.974550998085	0.965851798311	0.965851798311	0.965851798311	0.965851798311	0.753201488664	0.965851798311	0.970049560423	0.970049560423	0.970049560423	0.970049560423	0.970049560423	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085	0.974550998085
