First Dataset	Second Dataset	pvalue	qvalue
ErmB__Enterococcus_faecium_	Bathroom_window	0.000434892344075	0.0655382762521
ErmB__Enterococcus_faecium_	Pets	0.0	0.0
Haemophilus_parainfluenzae_gyrA_conferring_resistance_to_fluoroquinolones__Haemophilus_parainfluenzae_	Pets	0.0	0.0
Planobispora_rosea_EF-Tu_mutants_conferring_resistance_to_inhibitor_GE2270A__Planobispora_rosea_	Alcohol_consumption	0.0	0.0
Planobispora_rosea_EF-Tu_mutants_conferring_resistance_to_inhibitor_GE2270A__Planobispora_rosea_	Coffee_consumption	0.0	0.0
Haemophilus_parainfluenzae_parC_conferring_resistance_to_fluoroquinolones__Haemophilus_parainfluenzae_	Dietary_restrictions	0.0	0.0
Haemophilus_parainfluenzae_parC_conferring_resistance_to_fluoroquinolones__Haemophilus_parainfluenzae_	Bathroom_window	0.0	0.0
tet(B)__Gram-negative_bacterium_TC71_	Dietary_restrictions	0.0	0.0
lsaC__Streptococcus_agalactiae_	Pets	0.0	0.0
ErmX__Corynebacterium_striatum_	Pets	0.0	0.0
LpxC__Acinetobacter_baumannii_	Alcohol_consumption	0.0	0.0
LpxC__Acinetobacter_baumannii_	Coffee_consumption	0.0	0.0
TEM-126__Escherichia_coli_	Alcohol_consumption	0.0	0.0
TEM-126__Escherichia_coli_	Coffee_consumption	0.0	0.0
smeS__Stenotrophomonas_maltophilia_	Missing_teeth	0.0	0.0
Escherichia_coli_CyaA_with_mutation_conferring_resistance_to_fosfomycin__Escherichia_coli_str__K-12_substr__MC4100_	Pets	0.0	0.0
adeL__Acinetobacter_baumannii_	Pets	0.0	0.0
antibiotic_resistant_fabG__Escherichia_coli_str__K-12_substr__MG1655_	Missing_teeth	0.0	0.0
antibiotic_resistant_fabG__Escherichia_coli_str__K-12_substr__MG1655_	Pets	0.0	0.0
sul1__Vibrio_fluvialis_	Alcohol_consumption	0.0	0.0
sul1__Vibrio_fluvialis_	Coffee_consumption	0.0	0.0
cpxA__Escherichia_coli_O157_H7_str__Sakai_	Missing_teeth	0.0	0.0
cpxA__Escherichia_coli_O157_H7_str__Sakai_	Pets	0.0	0.0
FosA5__Escherichia_coli_	Missing_teeth	0.0	0.0
FosA5__Escherichia_coli_	Pets	0.0	0.0
smeE__Stenotrophomonas_maltophilia_	Toothbrush_age	0.002	0.1
smeE__Stenotrophomonas_maltophilia_	Pets	0.0	0.0
adeG__Acinetobacter_baumannii_AYE_	Pets	0.0	0.0
Klebsiella_pneumoniae_OmpK35__Klebsiella_pneumoniae_subsp__pneumoniae_HS11286_	Pets	0.0	0.0
