Data	Data	1	2	3	4	5	6	7
Data	Data	Dietary_restrictions	Alcohol_consumption	Coffee_consumption	Toothbrush_age	Bathroom_window	Pets	Missing_teeth
8	ErmB__Enterococcus_faecium_	0.0	0.0	0.0	0.0	31.0	8.0	0.0
9	lsaC__Streptococcus_agalactiae_	0.0	0.0	0.0	0.0	0.0	12.0	0.0
10	Planobispora_rosea_EF_Tu_mutants_conferring_resistance_to_inhibitor_GE2270A__Planobispora_rosea_	0.0	1.0	1.0	0.0	0.0	0.0	0.0
11	TEM_126__Escherichia_coli_	0.0	13.0	17.0	0.0	0.0	0.0	0.0
12	Haemophilus_parainfluenzae_parC_conferring_resistance_to_fluoroquinolones__Haemophilus_parainfluenzae_	21.0	0.0	0.0	0.0	35.0	0.0	0.0
13	tet_B___Gram_negative_bacterium_TC71_	30.0	0.0	0.0	0.0	0.0	0.0	0.0
14	LpxC__Acinetobacter_baumannii_	0.0	0.0	12.0	0.0	0.0	0.0	0.0
15	sul1__Vibrio_fluvialis_	0.0	16.0	17.0	0.0	0.0	0.0	0.0
16	Escherichia_coli_CyaA_with_mutation_conferring_resistance_to_fosfomycin__Escherichia_coli_str__K_12_substr__MC4100_	0.0	0.0	0.0	0.0	0.0	13.0	0.0
17	adeL__Acinetobacter_baumannii_	0.0	0.0	0.0	0.0	0.0	14.0	0.0
18	adeG__Acinetobacter_baumannii_AYE_	0.0	0.0	0.0	0.0	0.0	12.0	0.0
19	cpxA__Escherichia_coli_O157_H7_str__Sakai_	0.0	0.0	0.0	0.0	0.0	12.0	24.0
20	smeE__Stenotrophomonas_maltophilia_	0.0	0.0	0.0	24.0	0.0	12.0	0.0
21	smeS__Stenotrophomonas_maltophilia_	0.0	0.0	0.0	0.0	0.0	0.0	27.0
22	antibiotic_resistant_fabG__Escherichia_coli_str__K_12_substr__MG1655_	0.0	0.0	0.0	0.0	0.0	13.0	29.0
23	FosA5__Escherichia_coli_	0.0	0.0	0.0	0.0	0.0	11.0	24.0
24	Klebsiella_pneumoniae_OmpK35__Klebsiella_pneumoniae_subsp__pneumoniae_HS11286_	0.0	0.0	0.0	0.0	0.0	12.0	0.0
25	Haemophilus_parainfluenzae_gyrA_conferring_resistance_to_fluoroquinolones__Haemophilus_parainfluenzae_	0.0	0.0	0.0	0.0	0.0	15.0	0.0
26	ErmX__Corynebacterium_striatum_	0.0	0.0	0.0	0.0	0.0	11.0	0.0
