	Klebsiella_oxytoca	Stenotrophomonas_maltophilia	Rothia_mucilaginosa	Enterobacter_cloacae	Veillonella_unclassified	Streptococcus_sanguinis	Brevundimonas_diminuta	Acinetobacter_ursingii	Pseudomonas_unclassified	Kocuria_rhizophila	Veillonella_parvula	Streptococcus_parasanguinis	Rothia_dentocariosa	Acinetobacter_pittii_calcoaceticus_nosocomialis	Sphingobium_yanoikuyae	Neisseria_unclassified	Streptococcus_salivarius	Klebsiella_pneumoniae	Streptococcus_mitis_oralis_pneumoniae	Citrobacter_freundii	Haemophilus_parainfluenzae	Pseudomonas_aeruginosa	Abiotrophia_defectiva	Lautropia_mirabilis	Streptococcus_gordonii	Acinetobacter_lwoffii	Veillonella_atypica	Prevotella_melaninogenica	Streptococcus_australis	Delftia_acidovorans	Rothia_aeria	Klebsiella_unclassified	Raoultella_ornithinolytica	Streptococcus_infantis	Actinomyces_viscosus	Delftia_unclassified	Actinomyces_sp_oral_taxon_448	Kocuria_unclassified	Chryseobacterium_unclassified	Granulicatella_adiacens	Neisseria_sicca	Acinetobacter_johnsonii	Actinomyces_oris	Prevotella_histicola	Actinomyces_odontolyticus	Pseudomonas_stutzeri	Comamonas_unclassified	Streptococcus_intermedius	Gemella_haemolysans	Citrobacter_unclassified	Brevundimonas_unclassified	Corynebacterium_matruchotii	Granulicatella_unclassified	Fusobacterium_nucleatum	Porphyromonas_sp_oral_taxon_279	Actinomyces_massiliensis	Veillonella_dispar	Actinomyces_graevenitzii	Leptotrichia_unclassified	Oribacterium_sinus	Solobacterium_moorei	Stomatobaculum_longum	Corynebacterium_durum	Pseudomonas_putida	Atopobium_parvulum	Megasphaera_micronuciformis	Streptococcus_cristatus	Achromobacter_piechaudii	Granulicatella_elegans	Gemella_unclassified	Peptostreptococcus_unclassified	Stenotrophomonas_unclassified	Escherichia_unclassified	Streptococcus_tigurinus	Gemella_sanguinis	Capnocytophaga_unclassified	Neisseria_flavescens	Actinomyces_johnsonii	Lachnoanaerobaculum_saburreum	candidate_division_TM7_single_cell_isolate_TM7c	Neisseria_elongata	Prevotella_nanceiensis	Gemella_morbillorum	Lachnospiraceae_bacterium_ICM7	Cardiobacterium_hominis	Streptococcus_vestibularis	Bordetella_unclassified	Actinomyces_naeslundii	Aerococcus_viridans	Eubacterium_brachy	Sphingobacterium_unclassified	Capnocytophaga_gingivalis	Prevotella_salivae	Acinetobacter_parvus	Streptococcus_mutans	Lachnospiraceae_bacterium_oral_taxon_082	Agrobacterium_tumefaciens	Kingella_denitrificans	Fusobacterium_periodonticum	Leptotrichia_wadei	Prevotella_pallens	Propionibacterium_propionicum	candidate_division_TM7_single_cell_isolate_TM7b	Kingella_oralis	Achromobacter_unclassified	Selenomonas_noxia	Parvimonas_unclassified	Prevotella_denticola	Ochrobactrum_anthropi	Dialister_invisus	Prevotella_nigrescens	Streptococcus_peroris	Oribacterium_sp_oral_taxon_078	Porphyromonas_catoniae	Peptostreptococcus_stomatis	Prevotella_oris	Neisseria_meningitidis	Neisseria_subflava	Scardovia_wiggsiae	Streptococcus_oligofermentans	Eubacterium_infirmum	Lachnospiraceae_oral_taxon_107	Agrobacterium_unclassified	Atopobium_rimae	Eikenella_corrodens	Rhizobium_lupini	Sphingopyxis_unclassified	Eubacterium_yurii	Campylobacter_gracilis	Alloprevotella_unclassified	Neisseria_bacilliformis	Capnocytophaga_granulosa	Neisseria_macacae	Leptotrichia_buccalis	Selenomonas_artemidis	Haemophilus_sputorum	Prevotella_oulorum	Actinomyces_georgiae	Haemophilus_haemolyticus	Streptococcus_anginosus	Parvimonas_micra	Kingella_unclassified	Roseomonas_unclassified	Catonella_morbi	Cardiobacterium_valvarum	Porphyromonas_endodontalis	Selenomonas_sputigena	Campylobacter_concisus	Prevotella_veroralis	Leptotrichia_hofstadii	Aggregatibacter_segnis	Streptococcus_constellatus	Selenomonas_flueggei	Campylobacter_showae	Scardovia_unclassified	Actinobacillus_unclassified	Aggregatibacter_unclassified
Klebsiella_oxytoca	0.0	0.76401593679	0.709627660776	0.79010100452	0.772650637361	0.700992960206	0.799791003226	0.849517531309	0.81470667573	0.89108038973	0.841281000526	0.818404212804	0.772650637361	0.88127762065	0.845078065385	0.809671528179	0.719263799045	0.84026906368	0.76401593679	0.853748922433	0.878379788981	0.756796870442	0.770030916999	0.754181939364	0.859787301687	0.806108308499	0.795488821666	0.851038116944	0.789547080404	0.756796870442	0.79010100452	0.69238602019	0.806108308499	0.791557596105	0.755217310212	0.762281148101	0.744430618435	0.804727825172	0.813163194252	0.697327854544	0.842271036821	0.751312592784	0.757239791945	0.864818818516	0.808287495039	0.756796870442	0.814775391399	0.778673856687	0.851038116944	0.831343620384	0.751312592784	0.804286999307	0.758636614394	0.811073024074	0.756796870442	0.773929574886	0.790083683795	0.757396286896	0.761061255223	0.757775465977	0.85260905051	0.802956765222	0.771873815685	0.808273920305	0.888803149266	0.847033825697	0.766838698978	0.785799207359	0.888595029226	0.776316244061	0.706318041595	0.810311192832	0.808273920305	0.822218728893	0.859637283568	0.816960789236	0.919592316088	0.872935463713	0.853748922433	0.8151643939	0.841114651937	0.774674349681	0.888787484398	0.872249037085	0.814413638493	0.845078065385	0.779678696309	0.85811304259	0.813163194252	0.89387673138	0.841114651937	0.756796870442	0.881275206397	0.813163194252	0.881275206397	0.900262999428	0.744430618435	0.779678696309	0.903010001164	0.893703776824	0.762281148101	0.83912299478	0.821684914822	0.900262999428	0.813163194252	0.83528145077	0.798872728046	0.827961627941	0.806108308499	0.814413638493	0.806503510383	0.779678696309	0.751312592784	0.813163194252	0.82853957332	0.881275206397	0.833920913566	0.903010001164	0.845775295325	0.744430618435	0.748900108457	0.806108308499	0.83528145077	0.793557191517	0.756796870442	0.779678696309	0.797255448414	0.779678696309	0.765877830132	0.744430618435	0.765877830132	0.779678696309	0.813163194252	0.744430618435	0.779678696309	0.779962545988	0.738946340777	0.765877830132	0.797255448414	0.710443088576	0.813163194252	0.813163194252	0.797255448414	0.785799207359	0.806108308499	0.813163194252	0.765877830132	0.888595029226	0.827961627941	0.744430618435	0.813163194252	0.888595029226	0.806108308499	0.806108308499	0.765877830132	0.813163194252	0.765877830132
Stenotrophomonas_maltophilia	0.76401593679	0.0	0.700992960206	0.715374030669	0.741139149068	0.655239384762	0.838183397833	0.759467817744	0.789248771063	0.708234997825	0.655239384762	0.741139149068	0.595243722167	0.814980692655	0.793645325382	0.777363310361	0.788282266633	0.827191146467	0.709627660776	0.873812826906	0.819824583594	0.710443088576	0.703266130031	0.681177101794	0.624336662794	0.790200562661	0.724083975459	0.81301206346	0.730525992441	0.744430618435	0.772091907118	0.779639844031	0.790200562661	0.766462372478	0.546606555427	0.744430618435	0.738946340777	0.839596838969	0.769442187565	0.761888416932	0.822763761747	0.732064366429	0.670817685149	0.871431218438	0.733811174071	0.722809340583	0.793067561902	0.777234009934	0.802956765222	0.821359004386	0.749914896094	0.766260945823	0.745981225446	0.783018064193	0.744430618435	0.772633918724	0.788788027633	0.842076955949	0.7496757229	0.772633918724	0.799178484839	0.724365435824	0.820117582335	0.766809521992	0.754257830218	0.835151973242	0.826271472799	0.74786876966	0.795120896309	0.776316244061	0.767211478474	0.826271472799	0.726648967532	0.798452833257	0.921561175152	0.89387673138	0.835151973242	0.748421680306	0.83877426494	0.757883053833	0.827961627941	0.85260905051	0.888787484398	0.773418141947	0.831113885002	0.835621946748	0.741748258611	0.671838789818	0.813163194252	0.888787484398	0.764804195667	0.744430618435	0.83528145077	0.813163194252	0.795120896309	0.860135190481	0.732064366429	0.765877830132	0.814775391399	0.876337530077	0.756796870442	0.751688443348	0.793557191517	0.792260187945	0.797255448414	0.881275206397	0.816657720865	0.795120896309	0.790200562661	0.876337530077	0.876337530077	0.77355818526	0.744430618435	0.797255448414	0.786990875591	0.841114651937	0.833920913566	0.814775391399	0.852684818748	0.738946340777	0.823270120787	0.806108308499	0.764804195667	0.852684818748	0.751312592784	0.765877830132	0.790200562661	0.77355818526	0.765877830132	0.751312592784	0.765877830132	0.771998341181	0.806108308499	0.749914896094	0.771998341181	0.841114651937	0.744430618435	0.765877830132	0.806108308499	0.744430618435	0.797255448414	0.813163194252	0.806108308499	0.779678696309	0.813163194252	0.790200562661	0.771998341181	0.808273920305	0.795120896309	0.744430618435	0.806108308499	0.888595029226	0.806108308499	0.797255448414	0.771998341181	0.806108308499	0.765877830132
Rothia_mucilaginosa	0.709627660776	0.700992960206	0.0	0.628951923873	0.686750873054	0.709627660776	0.66587006858	0.809379703946	0.747941888762	0.73833296173	0.709627660776	0.586609021596	0.718262361346	0.72248468644	0.814853633637	0.762839996532	0.704941172949	0.890594246096	0.678116172484	0.900262999428	0.682891868181	0.732064366429	0.754181939364	0.668199298332	0.859787301687	0.790200562661	0.668199298332	0.717835511138	0.764721640081	0.751312592784	0.685669800322	0.747941888762	0.813163194252	0.780832487612	0.726356881549	0.738946340777	0.756796870442	0.845146179302	0.806108308499	0.686602746051	0.876337530077	0.732064366429	0.670817685149	0.823270120787	0.763482037947	0.744430618435	0.750141532523	0.813137734899	0.717835511138	0.857296905705	0.744430618435	0.696394680578	0.768006821711	0.788781614435	0.744430618435	0.79351741927	0.696085481583	0.753488618315	0.643113638255	0.613511996644	0.799178484839	0.7077802129	0.832210719272	0.827961627941	0.764938059748	0.814377624377	0.775967153157	0.765877830132	0.83528145077	0.734420734062	0.799178484839	0.887095982048	0.779962545988	0.812547510071	0.728914405233	0.790510616714	0.77148597926	0.881285586968	0.853748922433	0.807794940035	0.808273920305	0.780223690015	0.758971197211	0.789557721921	0.795346358564	0.787436230453	0.752076963954	0.865181039838	0.806108308499	0.847362654384	0.749645845346	0.756796870442	0.83528145077	0.813163194252	0.848434474765	0.842273407403	0.732064366429	0.77355818526	0.802359636331	0.821062728565	0.710443088576	0.76566242823	0.809269159754	0.790510616714	0.797255448414	0.83528145077	0.864818818516	0.841114651937	0.790200562661	0.795346358564	0.795346358564	0.771998341181	0.751312592784	0.813163194252	0.871431218438	0.83528145077	0.887494681896	0.802359636331	0.852684818748	0.749914896094	0.82853957332	0.797255448414	0.764804195667	0.814775391399	0.756796870442	0.765877830132	0.813163194252	0.771998341181	0.771998341181	0.744430618435	0.779678696309	0.779678696309	0.813163194252	0.744430618435	0.765877830132	0.87544200523	0.744430618435	0.771998341181	0.806108308499	0.744430618435	0.813163194252	0.813163194252	0.790200562661	0.779678696309	0.797255448414	0.806108308499	0.765877830132	0.764804195667	0.83528145077	0.744430618435	0.813163194252	0.749645845346	0.797255448414	0.797255448414	0.765877830132	0.806108308499	0.771998341181
Enterobacter_cloacae	0.79010100452	0.715374030669	0.628951923873	0.0	0.79010100452	0.772091907118	0.723269130442	0.832474589108	0.842207696967	0.782603693314	0.772091907118	0.700521915495	0.709526464196	0.816969069492	0.894112155946	0.760041581342	0.791619826046	0.864843471817	0.733383128071	0.892137643408	0.712956415614	0.757597992519	0.700771138057	0.72731947526	0.805999707006	0.797803390564	0.767401491177	0.803460289332	0.793919860209	0.738982875249	0.725437601409	0.710791642036	0.821466334777	0.811147598832	0.666469436192	0.738982875249	0.773147826403	0.763260075317	0.788571337972	0.796161971883	0.885119947742	0.764774740881	0.655657850747	0.94186771923	0.756966820584	0.733483874281	0.824026802671	0.773393393058	0.626284644212	0.853461652236	0.751878808065	0.835277093819	0.803691419447	0.758853538423	0.721646116684	0.809228530987	0.80529822527	0.859139903911	0.732347491204	0.72940131236	0.734125461446	0.85395991945	0.802449149606	0.80591062273	0.799636594467	0.899767659753	0.839533325264	0.75584972943	0.728963720578	0.83491827283	0.78656409369	0.851347351446	0.670968623844	0.792582946645	0.747308379533	0.678846944708	0.764301030256	0.869937117937	0.804081089975	0.708197573153	0.728963720578	0.852315461786	0.836206953996	0.850754347669	0.892338262804	0.878186058734	0.75584972943	0.790612664136	0.70638546701	0.829839686402	0.895755160437	0.696362817029	0.889672107115	0.848826454703	0.852514727151	0.8801706003	0.740660622643	0.697068465743	0.782009007335	0.852111452817	0.773147826403	0.827089179337	0.821542200409	0.891845101413	0.797803390564	0.841373005353	0.797430603721	0.889672107115	0.805160456605	0.837959248747	0.787994030875	0.790770662815	0.785535193241	0.730048411223	0.82410128834	0.889672107115	0.776358987355	0.765113450193	0.812362722513	0.721646116684	0.763864291786	0.848826454703	0.786345357091	0.794640052302	0.658265606104	0.770241724914	0.783229702374	0.728814237974	0.828331539594	0.696362817029	0.737069291041	0.697068465743	0.730048411223	0.794362822194	0.81393954411	0.810633984959	0.794362822194	0.828331539594	0.788571337972	0.794362822194	0.730048411223	0.848826454703	0.788571337972	0.697068465743	0.83223733607	0.730048411223	0.81393954411	0.883589053792	0.87177326268	0.785535193241	0.730048411223	0.814816424967	0.812234282185	0.83223733607	0.828331539594	0.783229702374	0.828331539594
Veillonella_unclassified	0.772650637361	0.741139149068	0.686750873054	0.79010100452	0.0	0.586609021596	0.808919457405	0.617367088378	0.795488821666	0.754181939364	0.649631998181	0.572366934445	0.709627660776	0.764634323135	0.876337530077	0.731827434876	0.713624702716	0.852684818748	0.637969983621	0.816960789236	0.726113836346	0.738946340777	0.794217638857	0.69238602019	0.7798618655	0.806108308499	0.647710261459	0.569721999457	0.739896199758	0.756796870442	0.66766070292	0.880200279889	0.790200562661	0.760311219531	0.68568039195	0.751312592784	0.751312592784	0.814699460863	0.797255448414	0.780832487612	0.788697268491	0.738946340777	0.676665251621	0.813034676988	0.664180276656	0.751312592784	0.847178587102	0.824021600134	0.796426840537	0.781841654713	0.732064366429	0.744476032299	0.680875111795	0.77468693762	0.744430618435	0.746685887623	0.639460027745	0.705956827042	0.696394680578	0.690060433784	0.749776971575	0.738290190577	0.803914504275	0.841114651937	0.731484463752	0.678621714553	0.771918798225	0.771998341181	0.756965668174	0.689864755892	0.799178484839	0.838183397833	0.841114651937	0.759252168557	0.761279865307	0.847362654384	0.794071850062	0.876337530077	0.873812826906	0.798430801728	0.842601273598	0.70783832952	0.733658579043	0.722442248005	0.77583908349	0.867987406823	0.765877830132	0.819833296391	0.813163194252	0.673919415787	0.726648967532	0.744430618435	0.764804195667	0.790200562661	0.83528145077	0.873812826906	0.744430618435	0.765877830132	0.84026906368	0.757877798943	0.710443088576	0.841117679222	0.836483220896	0.796896884762	0.797255448414	0.87544200523	0.807765224455	0.781967872314	0.806108308499	0.872935463713	0.73837052387	0.74786876966	0.751312592784	0.806108308499	0.759604126805	0.77264272316	0.834360908711	0.84026906368	0.874392648244	0.744430618435	0.814377624377	0.790200562661	0.827961627941	0.874392648244	0.751312592784	0.771998341181	0.813163194252	0.765877830132	0.765877830132	0.744430618435	0.779678696309	0.779678696309	0.813163194252	0.744430618435	0.765877830132	0.827961627941	0.732064366429	0.765877830132	0.806108308499	0.749914896094	0.813163194252	0.797255448414	0.806108308499	0.779678696309	0.797255448414	0.797255448414	0.771998341181	0.764804195667	0.827961627941	0.744430618435	0.813163194252	0.812284572956	0.769442187565	0.790200562661	0.771998341181	0.806108308499	0.74786876966
Streptococcus_sanguinis	0.700992960206	0.655239384762	0.709627660776	0.772091907118	0.586609021596	0.0	0.8541436778	0.776056964759	0.785879894634	0.789248771063	0.663874085332	0.51683635785	0.718262361346	0.763159837137	0.842271036821	0.664112402683	0.641561801689	0.827191146467	0.64099729761	0.775083409057	0.745936140982	0.751312592784	0.744573012332	0.641470210856	0.701484355475	0.813163194252	0.677808225364	0.654499170578	0.754111830629	0.738946340777	0.657464925743	0.763790866396	0.806108308499	0.750839184191	0.584215742512	0.744430618435	0.710443088576	0.791715613631	0.790200562661	0.705546816731	0.626714925464	0.738946340777	0.627760695396	0.82853957332	0.739896199758	0.756796870442	0.788050959871	0.812765299143	0.7077802129	0.757883053833	0.732064366429	0.659698861179	0.695090742666	0.639659899047	0.744430618435	0.738187621593	0.644189419382	0.759252168557	0.668423925332	0.667546138158	0.791715613631	0.68633938234	0.692508019225	0.848434474765	0.764938059748	0.757792604866	0.648518053186	0.77355818526	0.818117774123	0.64444387234	0.791715613631	0.726694577829	0.83528145077	0.752014132318	0.822763761747	0.792260187945	0.844044469651	0.793645325382	0.748633236535	0.788036265199	0.804964750127	0.829625203278	0.772196283472	0.784302007182	0.740071557052	0.882546625006	0.77355818526	0.762161840956	0.797255448414	0.710707548984	0.77264272316	0.722809340583	0.83528145077	0.797255448414	0.87544200523	0.792260187945	0.751312592784	0.765877830132	0.84026906368	0.774138050308	0.732064366429	0.736539615087	0.868886416599	0.730771453458	0.806108308499	0.781967872314	0.77148597926	0.822128426774	0.806108308499	0.861778311894	0.741772590234	0.779678696309	0.732064366429	0.797255448414	0.823270120787	0.781967872314	0.838868970457	0.830976989251	0.800466714939	0.732064366429	0.814377624377	0.806108308499	0.795120896309	0.814775391399	0.728293618241	0.77355818526	0.797255448414	0.765877830132	0.765877830132	0.722809340583	0.771998341181	0.741748258611	0.797255448414	0.738946340777	0.765877830132	0.841114651937	0.732064366429	0.765877830132	0.797255448414	0.744430618435	0.790200562661	0.806108308499	0.813163194252	0.74786876966	0.797255448414	0.797255448414	0.779678696309	0.781967872314	0.83528145077	0.732064366429	0.797255448414	0.83528145077	0.806108308499	0.797255448414	0.779678696309	0.797255448414	0.779678696309
Brevundimonas_diminuta	0.799791003226	0.838183397833	0.66587006858	0.723269130442	0.808919457405	0.8541436778	0.0	0.886447302177	0.825579403994	0.800215735698	0.805231093586	0.8541436778	0.820831382439	0.875490097441	0.945013126483	0.826603501749	0.910778110994	0.876025468906	0.819439647011	0.913551433984	0.891658022251	0.727074617628	0.850542464497	0.815421014667	0.891658022251	0.744388373152	0.833182043479	0.776476215639	0.901318835975	0.778638638151	0.817216317829	0.794562464623	0.802446001231	0.847780588638	0.732333454428	0.727074617628	0.851950699183	0.823481075638	0.752983776683	0.851826624995	0.921867544868	0.707413912506	0.739913033386	0.931344671033	0.823896971275	0.7635720687	0.82722538835	0.908901278383	0.904267468331	0.862374086904	0.770253903276	0.871549810067	0.908099784791	0.800406760877	0.851950699183	0.839706300283	0.847455309024	0.885476683862	0.818885213311	0.89100194072	0.880341730234	0.853642795562	0.838895205779	0.938773827543	0.933472057907	0.922230641154	0.886381211478	0.765122749047	0.905632696768	0.863593999064	0.878761150171	0.870765689621	0.870111445434	0.837716090199	0.943329897594	0.841443773134	0.895614247073	0.914302620596	0.921173891806	0.845848148611	0.89554360888	0.895819054174	0.886265030495	0.851443302758	0.896564224857	0.911998053924	0.714754484186	0.882380306408	0.868777120186	0.886265030495	0.819298559152	0.813060716425	0.896714504017	0.849395729822	0.915182859485	0.921173891806	0.707413912506	0.84426968325	0.911353187336	0.866347790979	0.778638638151	0.898072439609	0.912458450068	0.882434812438	0.802446001231	0.91273964643	0.948028155746	0.875170965527	0.752983776683	0.930962531211	0.801075556445	0.80585428499	0.819742551001	0.868777120186	0.922230641154	0.875170965527	0.866768781801	0.904644604861	0.867472051154	0.851950699183	0.948028155746	0.868777120186	0.770368472441	0.784620814786	0.813060716425	0.735724200082	0.849395729822	0.861084131851	0.861084131851	0.851950699183	0.815211736536	0.822668733591	0.868777120186	0.851950699183	0.861084131851	0.905632696768	0.851950699183	0.861084131851	0.813231988064	0.836884129732	0.868777120186	0.849395729822	0.71909716124	0.815211736536	0.868777120186	0.849395729822	0.897028761045	0.922748685131	0.855350242952	0.851950699183	0.868777120186	0.837206501136	0.849395729822	0.868777120186	0.861084131851	0.868777120186	0.84426968325
Acinetobacter_ursingii	0.849517531309	0.759467817744	0.809379703946	0.832474589108	0.617367088378	0.776056964759	0.886447302177	0.0	0.786960266478	0.83466087077	0.781841654713	0.781841654713	0.757883053833	0.908102938236	0.873841988058	0.855082555902	0.828172157013	0.953962435213	0.833338304826	0.873543089435	0.801003310432	0.681563061836	0.786677495973	0.822279138984	0.840135901678	0.7089359994	0.791807457227	0.777595172586	0.8378465637	0.727895528154	0.808136829492	0.896641518721	0.939680215057	0.878600743993	0.713039831067	0.750283099321	0.770533483987	0.910722428374	0.939680215057	0.778482080971	0.78848936621	0.668723156817	0.795379437528	0.811878211353	0.852290274204	0.59828494247	0.928374379204	0.81723505396	0.825936846981	0.864933420433	0.777659264196	0.777595172586	0.693803424426	0.848646539896	0.918569168941	0.849689993309	0.813226193829	0.817720685419	0.770858774233	0.839697495382	0.869580713804	0.759231469865	0.84059228724	0.709344554504	0.7902602626	0.910028596928	0.834938671437	0.800692216683	0.893783665695	0.805972850353	0.910722428374	0.811540874159	0.859183086517	0.751248610717	0.924249107847	0.850805118189	0.866023358632	0.803968174375	0.850805118189	0.825867855714	0.794280066421	0.807179063573	0.800851042565	0.874854054169	0.803968174375	0.890634695434	0.811347511654	0.81723505396	0.799546574902	0.85221133389	0.747750074152	0.918569168941	0.828966725513	0.748678050273	0.794280066421	0.910309668013	0.668723156817	0.928803056433	0.92396384564	0.880653341239	0.918569168941	0.842643031694	0.880353942541	0.800851042565	0.787264612157	0.893783665695	0.866023358632	0.828966725513	0.7089359994	0.896132149404	0.803968174375	0.928803056433	0.918569168941	0.939680215057	0.922942016631	0.828966725513	0.805021830858	0.880353942541	0.911072541491	0.918569168941	0.866023358632	0.939680215057	0.730374401595	0.911072541491	0.918569168941	0.709670470452	0.853595436335	0.928803056433	0.928803056433	0.770533483987	0.761373160626	0.928803056433	0.939680215057	0.918569168941	0.928803056433	0.919369890787	0.918569168941	0.928803056433	0.744258558622	0.855529019947	0.939680215057	0.939680215057	0.787264612157	0.928803056433	0.939680215057	0.939680215057	0.928803056433	0.893783665695	0.828966725513	0.918569168941	0.939680215057	0.893783665695	0.939680215057	0.939680215057	0.875375614519	0.939680215057	0.928803056433
Pseudomonas_unclassified	0.81470667573	0.789248771063	0.747941888762	0.842207696967	0.795488821666	0.785879894634	0.825579403994	0.786960266478	0.0	0.727495750062	0.754181939364	0.808466625127	0.747941888762	0.874825276277	0.842080174146	0.818141913843	0.733465308287	0.774634339775	0.754181939364	0.881399562413	0.800510524423	0.825674702483	0.819430569277	0.885369517348	0.728984588207	0.86498195577	0.82811631028	0.7627456627	0.773596557032	0.772265215481	0.747360483219	0.716802677621	0.829926158429	0.814385989974	0.785176932845	0.786026713315	0.792986620935	0.882212224731	0.822075291816	0.814385989974	0.863788394512	0.81094430877	0.815659359763	0.898792189703	0.74321121415	0.778368267163	0.8749306805	0.826933962804	0.740986309401	0.805421115455	0.745013785352	0.853785107718	0.804878813199	0.866391252426	0.859065787803	0.740972012142	0.7821884601	0.775288464721	0.835328625575	0.832630822252	0.739409057579	0.779379593953	0.751467616644	0.857871732558	0.817996539666	0.891433733224	0.858145103981	0.809517594539	0.867755938943	0.798178306717	0.795828059886	0.888513107257	0.839841003337	0.813072169338	0.889282525829	0.851461489037	0.759109639134	0.800384153253	0.866178720727	0.826952929646	0.825295774859	0.735587811663	0.87378914157	0.850486309367	0.823985329095	0.798875722224	0.852683865941	0.768604316794	0.812223591008	0.857806008799	0.879911485833	0.859065787803	0.818351120745	0.822075291816	0.704696296091	0.754248931163	0.778368267163	0.798023533434	0.872122851829	0.92691498615	0.8153754608	0.826262445383	0.90229041945	0.801864380839	0.812223591008	0.910216103028	0.864988843257	0.843942664896	0.897035546073	0.882372877994	0.865681349988	0.818064500295	0.817047360452	0.897035546073	0.849454803888	0.867755938943	0.840676857101	0.80999215263	0.871577978825	0.839436200317	0.881537924049	0.86498195577	0.916457535272	0.860103789092	0.8153754608	0.809517594539	0.798974813696	0.852683865941	0.852683865941	0.8153754608	0.753472026296	0.852683865941	0.897035546073	0.839436200317	0.852683865941	0.867755938943	0.839436200317	0.852683865941	0.834030611038	0.839436200317	0.86498195577	0.829926158429	0.897035546073	0.877670044671	0.897035546073	0.86498195577	0.825831829768	0.867755938943	0.687827676158	0.839436200317	0.897035546073	0.769649524417	0.798974813696	0.897035546073	0.824875569607	0.747621946194	0.852683865941
Kocuria_rhizophila	0.89108038973	0.708234997825	0.73833296173	0.782603693314	0.754181939364	0.789248771063	0.800215735698	0.83466087077	0.727495750062	0.0	0.719115107665	0.820946726333	0.824315602762	0.840586360552	0.874695942108	0.76458468483	0.806882987916	0.888473833279	0.830555653365	0.877683081415	0.815631752191	0.761965973798	0.830123641718	0.844565690459	0.790165414463	0.834030611038	0.826928521876	0.768769372824	0.808534651675	0.734714543669	0.73897207884	0.816235449435	0.812223591008	0.751687541917	0.820706970821	0.76806902548	0.702995358001	0.54103874378	0.86498195577	0.807540821535	0.948623206515	0.792986620935	0.800457157626	0.860435580225	0.818421973692	0.761965973798	0.86599536916	0.80375204702	0.828061949758	0.764023125758	0.786026713315	0.798415661291	0.832505230891	0.886849173921	0.792986620935	0.76458468483	0.769847679044	0.873871949496	0.857708238224	0.687919153013	0.867731885754	0.744289180558	0.742903094246	0.857871732558	0.816424218303	0.85106121341	0.879003654025	0.767610653269	0.829305626033	0.815391823166	0.771161556125	0.875505524999	0.905503029984	0.828607547808	0.827493590425	0.916674935561	0.827942959251	0.705868546406	0.896512290744	0.89804684525	0.809786297046	0.806581097923	0.881795059054	0.809600747738	0.840187218671	0.80627500849	0.798023533434	0.816189387332	0.822075291816	0.855355428882	0.910216103028	0.754307527647	0.890865991121	0.822075291816	0.767326132962	0.856507261911	0.839436200317	0.809517594539	0.8749306805	0.865893338797	0.779225123102	0.810909318084	0.813468268459	0.717204046939	0.86498195577	0.813179987404	0.895691312206	0.890865991121	0.834030611038	0.912221527603	0.910713096574	0.837325890873	0.720953045835	0.86498195577	0.872573058047	0.899011686836	0.863788394512	0.86599536916	0.828257629076	0.778368267163	0.906672088543	0.812223591008	0.867755938943	0.886367339442	0.702995358001	0.852683865941	0.774380410015	0.779104714374	0.809517594539	0.727056097518	0.752252678201	0.767610653269	0.812223591008	0.754307527647	0.798023533434	0.829305626033	0.779225123102	0.809517594539	0.798974813696	0.778368267163	0.829926158429	0.798974813696	0.86498195577	0.752252678201	0.781272246276	0.86498195577	0.782665558366	0.803714081881	0.838771531555	0.73024678813	0.812223591008	0.818351120745	0.84727938835	0.834030611038	0.852683865941	0.71247772055	0.837325890873
