Data	Data	1	2	3	4	5	6	7	8	9	10	11	12
Data	Data	Nonantibiotic_medications	Mouthwash_freq	Dietary_restrictions	Alcohol_consumption	Coffee_consumption	Toothbrush_storage_location	Bathroom_window	Window_open_freq	Pets	Missing_teeth	Dental_devices	Adenoids_tonsils_removed
13	Haemophilus_haemolyticus	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	Kingella_denitrificans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	34.0	7.0
15	Porphyromonas_endodontalis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	33.0	6.0
16	Actinomyces_odontolyticus	0.0	0.0	0.0	0.0	0.0	11.0	9.0	14.0	0.0	0.0	0.0	0.0
17	Actinomyces_massiliensis	0.0	35.0	0.0	0.0	0.0	10.0	6.0	11.0	0.0	0.0	0.0	0.0
18	Actinomyces_viscosus	0.0	0.0	0.0	0.0	0.0	21.0	7.0	20.0	0.0	0.0	0.0	0.0
19	Granulicatella_adiacens	0.0	0.0	0.0	0.0	0.0	10.0	23.0	40.0	0.0	0.0	0.0	0.0
20	Raoultella_ornithinolytica	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	Acinetobacter_parvus	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	Pseudomonas_putida	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0
23	Aerococcus_viridans	0.0	0.0	0.0	13.0	17.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0
24	Acinetobacter_lwoffii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	24.0	0.0	0.0
25	Pseudomonas_stutzeri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0
26	Achromobacter_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0
27	Roseomonas_unclassified	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0
28	Acinetobacter_johnsonii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	33.0	0.0	0.0
29	Pseudomonas_aeruginosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0
30	Ochrobactrum_anthropi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	24.0	0.0	0.0
