	A10_count	A11_count	A16_count	A17_count	A18_count	A19_count	A22_count	A23_count	A2_count	A5_count	A7_count	A9_count	B12_count	B28_count	B29_count	B30_count	B32_count	B34_count	B35a_count	B35b_count	B37_count	B39_count	B42_count	B44_count	B47_count	B49_count	B51_count	B6_count	B8_count	C53_count	C54_count	C57_count	C60_count	C62_count	SRR059875_count	SRR059905_count	SRR060041_count	SRR060389_count	SRR061249_count	SRR061251_count	SRR061257_count	SRR062389_count	SRR1031063_count	SRR1031677_count	SRR1564324_count	SRR1565744_count	SRR1803853_count	SRR1803859_count	SRR1804260_count	SRR1804274_count	SRR1804292_count	SRR1804378_count	SRR1804718_count	SRR1804818_count	SRR1952524_count	SRR1952532_count	SRR1952557_count	SRR1952578_count	SRR2175813_count	SRR346700_count	SRR513376_count	SRR513802_count	SRR513813_count	SRR514204_count	SRR514244_count	SRR514849_count	SRR533811_count	SRR628262_count	marker_length	tb_avg	hmp_avg	tb_se	hmp_se	freq_all	freq_tmp	freq_hmp
gb|AAA23033_2|ARO_3000190|tetO__Campylobacter_jejuni_	0	0	0	0	0	0	0	0	53.08703779	0	0	0	0	0	2.350590586	0	0	0	10.90446424	3.316997783	0	0	17.08947937	0	0	0	2.698750274	0	0	0	0	0	5.6412359	0	0	0	0	28.84441209	7.22139372	0	0	0	0	0	0	0	0	0	9.353556271	0	2.640735768	0	0	0	5.446430076	4.809752639	0	0	2.174197769	0	8.754399523	2.568451941	3.112420117	8.976837963	16.30590743	0.834012428	0	0	43	2.79672223361765	2.97183846279412	1.64031470996868	1.02375484629035	0.294117647058824	0.205882352941176	0.382352941176471
gb|AAA74437_1|ARO_3000378|MexB__Pseudomonas_aeruginosa_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.80107618	0	4.573458162	0	0	0	0	0	0	0	0	0	0	2.002371304	0	0	247.1252339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	8.72065116311765	0	7.33353878548263	0	0.0588235294117647	0.117647058823529	0
gb|AAA88675_1|ARO_3000498|ErmF__Bacteroides_fragilis_	0	0	0	0	0	0	0	0	2.552261432	0	0	0	0	0	0	0	0	0	2.796016473	0	0	0	0	8.837489528	0	30.96150712	0	0	0	0	0	0	0	0	16.97061394	0	10.35718045	0	31.23297582	19.40443442	26.74789007	0	0	2.681067905	17.80432252	0	2.807182983	0	5.547146275	0	19.52702876	0	0	7.618909906	36.19691121	11.12926634	7.849388598	6.601995979	0.836229911	1.8292609	20.31107582	24.99938645	9.859858599	0	2.82723395	10.94770656	14.6889319	0.726187707	87	1.32786101626471	9.10300549920588	0.939857474386805	1.75853515216369	0.411764705882353	0.117647058823529	0.705882352941177
gb|AAB39605_1|ARO_3003361|Planobispora_rosea_EF-Tu_mutants_conferring_resistance_to_inhibitor_GE2270A__Planobispora_rosea_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.15476184	5.528329638	0	1.754266675	25.31774722	10.91650047	0	9.325476358	0	0	0	0	0	0	0	0	0	0	0	0	4.81426248	12.59257177	1.80650238	0	0	30.98122912	12.85867737	0	6.05780317	0	11.43212433	0	2.20061314	0	14.18771045	12.90092728	7.060187135	0	0	9.536216414	2.415775299	5.284531488	2.431777645	1.426917745	6.916489148	0	0	34.75051783	7.072448693	4.720220094	46	2.02932594708824	5.63080891120588	0.944880877527015	1.42625725129531	0.382352941176471	0.176470588235294	0.588235294117647
gb|AAC23556_1|ARO_3002660|APH(6)-Id__Pseudomonas_aeruginosa_	0	0	0	0	0.887048453	0	53.58417763	0	2.43518522	0	0	0	0	0	0	0	0	0	0	0	18.10534237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.546287804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.595741482	0	0	0	0	0	0	0	0	0	66	2.20622804920588	0.327706743705882	1.64611882471432	0.283262574123226	0.0882352941176471	0.117647058823529	0.0588235294117647
gb|AAC76055_1|ARO_3003308|Escherichia_coli_parC_conferring_resistance_to_fluoroquinolone__Escherichia_coli_str__K-12_substr__MG1655_	0	0	829.4933375	13.09468703	0	0	0	0	0	0	19.83249475	0	17.72098556	0	0	17.21149659	176.9804376	0	0	490.9156718	0	315.7680015	341.7895875	0	0	0	0	0	0	0	0	0	699.5132516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	85.9505868067647	0	35.5279479263185	0	0.147058823529412	0.294117647058824	0
gb|AAC76093_1|ARO_3002986|bacA__Escherichia_coli_str__K-12_substr__MG1655_	0	0	466.2832371	10.07283617	0	226.9967076	472.3228596	0	0	151.2010725	0	162.0185874	627.0502584	0	0	0	27.22775964	0	11.18406589	408.2458809	0	126.3072006	192.8043827	0	0	0	0	0	390.92449	0	0	23.10495632	503.3718188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	111.738709224118	0	31.8380839462156	0	0.220588235294118	0.441176470588235	0
gb|AAD51344_1|ARO_3003051|smeA__Stenotrophomonas_maltophilia_	0	0	0	88.05048173	0	5.855073808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.0632281	0	0	0	0	0	0	18.64276732	0	0	7.32596176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	6.79227978582353	0	4.11020643315887	0	0.0735294117647059	0.147058823529412	0
gb|AAD51345_1|ARO_3003052|smeB__Stenotrophomonas_maltophilia_	0	0	0	162.6915661	0	7.767535102	0	0	0	0	0	0	0	0	0	18.2546176	0	0	0	0	0	144.3510864	0	0	0	0	0	0	23.26806148	0	0	12.82963655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	10.8577206832941	0	6.29043684683979	0	0.0882352941176471	0.176470588235294	0
gb|AAD51346_1|ARO_3003053|smeC__Stenotrophomonas_maltophilia_	0	0	0	176.6260111	0	4.658180267	0	0	0	0	0	0	0	0	0	4.002673626	0	0	0	0	0	126.3072006	0	0	0	0	0	0	32.68987571	0	0	17.46304838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	10.6396173436176	0	6.31275716881682	0	0.0882352941176471	0.176470588235294	0
