#SampleID	SOURCE_ENV	Env	SourceSink	TITLE	METAPHLAN_BARCODE	RUN_DATE	STUDY_CENTER	PRINCIPAL_INVESTIGATOR	PRINCIPAL_INVESTIGATOR_CONTACT	SEQUENCING_METH
TMP_A2	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_A5	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_A7	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_A9	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_A10	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_A11	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_A16	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_A17	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_A18	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_A19	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_A22	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_A23	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_B6	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_B8	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_B12	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_B28	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_B29	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_B30	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_B32	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_B34	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_B35a	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_B35b	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_B37	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
