# Constructed from biom file																																																																																																																										
#OTU ID	AF001	AF002	AF003	AF004	AF005	AF006	AF007	AF008	AF009	AF010	AF011	AF012	AF013	AF014	AF015	AF016	AF017	AF018	AF019	AF020	AF021	AF022	AF023	AF024	AF025	AF026	AF027	AF028	AF029	AF030	AF031	AF032	AF033	AF034	AF035	AF036	AF037	AF038	AF039	AF040	AF041	AF042	AF043	AF044	AF045	AF046	AF047	AF048	AF049	AF050	AF051	AF052	AF053	AF054	AF055	AF056	AF057	AF058	AF059	AF060	AF061	AF062	AF063	AF064	AF065	AF066	AF067	AF068	AF069	AF070	AF071	AF072	AF073	AF074	AF075	AF076	AF077	AF078	AF079	AF080	AF081	AF082	AF083	AF084	AF085	AF086	AF087	AF088	AF089	AF090	AF091	AF092	AF093	AF094	AF095	AF096	AF097	AF098	AF099	AF100	AF101	AF102	AF103	AF104	AF105	AF106	AF107	AF108	AF109	AF110	AF111	AF112	AF113	AF114	AF115	AF116	AF117	AF118	AF119	AF120	AF121	AF122
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00185865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00041825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01560865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0053984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0053739	0	0	0	0	0	0	0.06625835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella	0.00325025	0	0.0050379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0128251	0	0	0	0.0147074	0.02985775	0	0	0	0	0	0	0	0	0	0	0	0.023229	0	0.00221215	0	0.023976	0.00538045	0	0.00971535	0	0	0	0	0	0.02054245	0	0	0.00688845	0	0.00185785	0	0	0	0	0	0	0	0	0	0	0	0.05632185	0	0	0	0	0	0	0	0	0.0051429	0.03734385	0	0.0094441	0	0	0	0	0	0	0	0.01872865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00341535	0	0	0	0	0.02201655	0	0.01010515	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0193031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03891855	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00380545	0	0	0	0	0	0	0	0	0	0	0.00748005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium	0	0	0.0097054	0	0	0	0.05450805	0.0066036	0	0	0	0	0	0	0	0	0	0	0	0.04705545	0	0	0.0753989	0	0	0	0	0	0.04813715	0	0	0.0102839	0	0.03953965	0	0	0	0.00233145	0.00124965	0	0	0	0.1039475	0	0	0.01816855	0	0	0	0	0	0	0	0.0012144	0	0	0.00308745	0	0	0	0	0	0	0	0	0	0	0	0	0.0272387	0	0.00491355	0	0	0	0	0	0	0	0.0121958	0	0.03306515	0	0.01296355	0	0.01980795	0	0	0	0.02159845	0	0	0	0	0	0	0	0	0	0	0	0	0.0227599	0	0	0.02954325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015405
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Cellulomonadaceae|g__Cellulomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00060395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium	0.02839165	0	0.01144575	6.49e-05	0.02680585	0	0.04532625	0.02909665	0	0	0	0.00031665	0	0	0	0	0	0.0087616	0	0	0.01777585	0.0047518	0.0043888	0.0066826	0.04112115	0.0014581	0.03139365	0.01463085	0.0461528	0.01276265	0	0.08003805	0.0328185	0	0	0.00707085	0	0.0079224	0.00426395	0	0	0	0	0	0.00106975	0.0137427	0	0.018155	0.0033861	0.0031609	0	0.0077135	0	0.03431005	0	0	0	0	0.06919485	0	0	0.0053642	0.0076351	0	0	0.0003398	0	0	0.09854205	0.0320399	0.005851	0	0	0	0	0	0	0	0	0.0375965	0.0502549	0.05274675	0	0	0	0.06079675	0	0	0	0.1038233	0	0.13817675	0	0	0.0019736	0.05519695	0	0	0	0	0	0.00947015	0.0457392	0.0092058	0.0081378	0	0	0.02334095	0	0	0	0	0	0	0.001745	0.01593605	0	0	0.1716063	0.02348495	0	0.0056511
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Turicella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0195539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20013785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002161
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae|g__Brachybacterium	0.00529655	0	0.0116133	0	0	0	0	0.0027637	0	0	0	0	0	0	0	0	0	0	0	0.00167385	0	0	0	0.0006015	0	0	0.02817205	0	0.0043798	0	0	0.00527035	0	0.0049069	0	0	0	0	0	0	0	0	0	0.01290095	0	0	0	0.0078934	0.0005023	0	0	0	0	0	0	0	0	0	0	0	0.01609475	0.0121875	0	0	0	0	0	0	0	0	0	0.00254885	0	0	0	0	0	0	0	0	0	0.01485845	0.01477585	0	0	0	0	0	0.00844455	0.00550385	0	0	0	0	0	0	0	0	0	0	0	0.00137175	0	0	0.0023317	0.00587215	0	0	0	0	0	0	0	0	0	0.0054678	0	0	0	0	0	0
