# Constructed from biom file																																		
#Sample ID	A2	A5	A7	A9	A10	A11	A16	A17	A18	A19	A22	A23	B6	B8	B12	B28	B29	B30	B32	B34	B35a	B35b	B37	B39	B42	B44	B47	B49	B51	C53	C54	C57	C60	C62
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	0	0	0	0	3.77306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	1.13995	0	7.22706	0.12202	7.49022	0.1998	0.2184	0	0.68318	0.03063	0	0	4.56657	0	6.63467	2.42925	0.86576	0	0.48457	9.857	4.71575	5.26754	0.23399	0.06317	13.44706	4.24668	11.36349	5.33973	0.69214	0.07407	4.60689	0.00799	0.53347	1.06204
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04576	0	0	0	0.13099	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium	0.03064	0	0.02859	0.03642	1.08451	0.03501	0	0	0	0	0	0.58739	0.3623	0	0.05802	2.27279	0.473	0	0	0.15342	4.60827	1.1492	0	0.04696	0.06488	2.68002	0	0.31936	0.06092	0	2.31732	0	0	0.21904
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae|g__Brachybacterium	0	0	0	0	0	0	0	0	0	0.00887	0	0	0	0	0	0	0.10805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Microbacterium	0	0.04349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73852	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Kocuria	0	0	0	0	0.15174	0	0	0	2.34376	0	1.16976	0	0.6375	0.02567	22.28717	0.33631	74.30795	1.06353	0.16792	0.0136	0.02159	0.04702	0.08345	0.03536	4.02222	0	0	0	0.45166	0.07044	0	0	0	2.59118
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Micrococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.38312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	11.11445	0.48164	9.65787	0.06857	20.89681	29.68919	13.56592	0	0.82539	0.24549	0.50471	22.26501	13.37223	0.11469	1.64652	36.86576	2.68763	0.03502	1.13296	0.71157	18.67743	10.02252	1.98993	14.37408	12.28127	10.19554	23.01089	23.32154	0.43872	0.2455	5.51667	0	12.64847	14.58867
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiaceae|g__Rhodococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0.05616	0	0	0	0.17439	0	0.00981	0	0	0	0	0	0	0	0.02061	0	0.01049	0	0	0.4944	0.07942	0.02547	0	0	0	0.29175	0	0.0957	0	0	0	0	0	0.14604
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia	0	0	1.32576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01682	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia	0	0	0.04219	0	0	0	0.09872	0	0	0	0	0	0	0	0	0.33578	0	0	0	0.15474	0	0	0	0	0.00935	0.05847	0	0.00888	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium	0.0563	0.03709	2.46891	0	0.47091	0.36075	0.05408	0	0	0	0	0	0.58374	0	0.01832	0.26345	0.29105	0	0	0.22811	0.2849	0.05919	0	0	0.10494	0.12352	0	0.8996	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Cryptobacterium	0	0	0.00178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02044	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0	0	0	0	0	0	0.00583	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname|f__Bacteroidetes_noname|g__Bacteroidetes_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00343	0	0	0	0	0.07104	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	4.05117	0	0.00339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30386	0	1.47145	0	1.1049	0	0	0	0	0	2.43445
