	SRR059875	SRR059905	SRR060041	SRR060389	SRR061249	SRR061251	SRR061257	SRR062389	SRR1031063	SRR1031677	SRR1564324	SRR1565744	SRR1803853	SRR1803859	SRR1804260	SRR1804274	SRR1804292	SRR1804378	SRR1804718	SRR1804818	SRR1952524	SRR1952532	SRR1952557	SRR1952578	SRR2175813	SRR346700	SRR513376	SRR513802	SRR513813	SRR514204	SRR514244	SRR514849	SRR533811	SRR628262
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183	0	0	0	0	0	0.87561	0	0	0	0	0	0	0	0	0	0	0	0	1.59359	11.74309	0	0	0	0	5.63117	0	0	0	1.62951	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_georgiae	0	0	0	0	0	0.01473	0.04597	0	0	0	0	0	0	0	0	0	0	0	0	0.01289	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	0.59644	0.37569	0	0	3.56053	0	0	0.55026	0.2227	6.18393	3.73656	0	0.00207	0	3.52039	0	3.53974	0.29941	0.00153	0	1.7355	0	0	3.96489	0	0.78682	0.81736	0.91985	0	0.00952	0	10.52159	5.57292	1.28172
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii	0	0.18664	0	0	0	0.05269	0.01748	0	0	0	0	0	2.58509	0	0	0.08078	0	0	0.11177	0.10149	0	1.93792	0.0574	0	0.42281	0.00399	0.12403	0	3.15248	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis	0	0	0	0	0	2.42407	0.15235	0	0	0	0	0	3.42199	0	0	1.68753	0	0	0.62193	5.73723	0.00288	0.74054	0	0	3.13205	0.04435	0.01216	0.00816	0.55458	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii	0	0.09722	0.00789	0	0	0.61046	0.60143	0	0	0	0	0	0.66215	0.04483	0	5.35949	0	0	0.45813	0.60822	0.00414	7.40654	0	0.21837	1.20736	0.02375	0.23324	0	0.15053	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	0.15719	0.06954	0.0331	0	0.29262	0.09008	0.00537	0	0	2.13489	1.05629	0	0.36138	0	0.97097	0	0.62886	0.44869	0.26069	0	0.9274	0.36467	0.06741	0.05806	0.16399	0.69271	0.11894	0.50367	0.14762	0.05113	0.55365	0.01313	0.696	0.72515
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	0.00376	0.2002	0.01122	0.27075	0.00263	0.89611	0.5711	0	0	0	0	0	3.92313	0.27214	0	0.88371	0.00205	0.80867	0.40372	2.72414	0.02717	6.42352	0.44116	1.24379	0.58337	0.08098	0.25061	0.00544	4.33176	0.17317	0	0.00224	0.05914	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.09586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM39	0	0	0	0	0.49931	0	0	0	0	0	0	0	0	0	0	0	0.29643	0	0	0	0.83729	0	0	0	0	1.45274	0	1.78718	0	0	0	0	0.91487	0.6367
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47	0	0	0	0	3.06025	0	0	0	0	19.54412	6.67215	0	0	0	3.57992	0	5.17255	0	0	0	5.64125	0	0	0	0	1.39203	0	0	0	0	0	33.21545	22.20818	9.26724
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_170	0	0	0	0	0	0	1.4424	0	0	0	0	0	4.57815	0	0	0	0	0	0	0	0	3.62328	0	0	2.3472	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_171	0	0	0	0	0	0.74522	0	0	0	0	0	0	0	0	0	0	0	0	1.40228	8.26396	0	0	0	0	0.79397	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_172	0	0	0	0	0	0	0	0	0	0	8.31122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.91289	0	0	0	12.33261	6.77112	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10859	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448	0	0	0	0	0	4.97005	0	0	0	0	0	0	16.38944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73636	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34769	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ph3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10957	0	0	0	0	0	0	0	0	0	0	0.9044	0	0	0	0	0	0.16948	0	0.39751
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_timonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00367	0	0	0	0.49326	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus	0.01857	0.22402	0.02515	0.36084	0	0.35192	1.03419	0	0.05989	0.00399	0	0	1.18091	0.21855	0.00343	0.48959	0	0.40155	0.08603	0.69547	0.05272	2.11508	0.15463	11.41444	0.29466	0.04911	0.21868	0.01387	1.55707	0.20661	0.00049	0.00069	0.01421	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00436	0	0	0.00514	0	0	0.00725
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum	0.05835	0.17686	0.01499	0	0.00846	6.59539	4.28312	0	0	0	0	0	1.5595	1.47279	0	0.57695	0	0	6.27696	5.21836	0.02457	0.56127	0	0.1235	1.60496	0.094	0.089	0	4.78782	0.02814	0.00058	0	0	0
