# Constructed from biom file																																		
#Sample ID	A2	A5	A7	A9	A10	A11	A16	A17	A18	A19	A22	A23	B6	B8	B12	B28	B29	B30	B32	B34	B35a	B35b	B37	B39	B42	B44	B47	B49	B51	C53	C54	C57	C60	C62
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183	0	0	0	0	3.77306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_georgiae	0	0	0	0	0.20056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0209	0	0	0	0	0	0.01959	0	0.02365	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	0.02174	0	0.41499	0	0.50646	0.1998	0	0	0	0	0	0	1.26686	0	0	0.27615	0.02738	0	0	0	0.15788	0.00282	0.09064	0	3.8758	0.00824	0	0.92702	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii	0	0	0	0	0.17423	0	0	0	0.00312	0	0	0	0	0	0.2455	0	0.01483	0	0	2.17914	0.01495	0.0162	0	0	0.00169	0.22525	0	0.16901	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis	0.01511	0	0.0716	0	0.61603	0	0	0	0.0461	0.01085	0	0	1.08595	0	0.17246	0.68402	0.01025	0	0	2.11369	0.5882	0.57592	0.00426	0	0.2858	0.95883	0	0.63711	0.06225	0	0	0	0	0.2515
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii	0.03397	0	0.00335	0	0.48183	0	0	0	0.02053	0	0	0	0	0	0.02571	0	0.04296	0	0	0.32768	0.12619	0.05349	0	0	0.01714	0.44224	0	0.04535	0.04496	0	0	0	0	0.23899
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	0.92709	0	0.62382	0.07302	2.91721	0	0	0	0.03363	0	0	0	0.72914	0	0.00591	0.04701	0.32683	0	0.38177	0.69659	1.01922	0.59412	0.13909	0.05389	0.29729	0.78735	0	1.22616	0.00322	0	0	0	0.32469	0.47092
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	0.03401	0	0	0.01623	1.86648	0	0.00314	0	0.50995	0	0	0	0.85028	0	0.18122	0.16326	0.3475	0	0.01871	0.81215	0.43431	0.52696	0	0	0.08394	0.45817	5.27669	0.15038	0.44606	0.04123	0.31599	0.00799	0.05774	0.01686
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247	0	0	2.33345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.66093	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47	0	0	3.74325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04871	0	0	0	0	0	0
