	GLM_p	Bon_q
gb.AAK76137_1.ARO_3000024.patA__Streptococcus_pneumoniae_TIGR4_	7.84316459001459e-05	0.0138039696784257
gb.YP_008997285_1.ARO_3000615.mefA__Exiguobacterium_sp__S3.2_	0.227646647167036	1
gb.YP_208874_1.ARO_3003930.rpsJ__Neisseria_gonorrhoeae_FA_1090_	4.24337137177176e-05	0.0074683336143183
gb.ANZ79241_1.ARO_3004036.tetB.60.__uncultured_bacterium_	0.0117311468311198	1
gb.AAF86219_1.ARO_3000375.ErmB__Enterococcus_faecium_	0.00105940988511626	0.186456139780462
gb.AAN82549_1.ARO_3003369.Escherichia_coli_EF.Tu_mutants_conferring_resistance_to_Pulvomycin__Escherichia_coli_CFT073_	0.00320053946975266	0.563294946676468
gb.ANZ79240_1.ARO_3004035.tetA.60.__uncultured_bacterium_	0.330567406742969	1
gb.WP_014065640_1.ARO_3003924.Haemophilus_parainfluenzae_gyrA_conferring_resistance_to_fluoroquinolones__Haemophilus_parainfluenzae_	0.000553018880979231	0.0973313230523447
gb.AET10445_1.ARO_3004033.tetB.46.__Streptococcus_australis_	0.461647157957044	1
gb.AAA88675_1.ARO_3000498.ErmF__Bacteroides_fragilis_	2.90073739421988e-07	5.10529781382699e-05
gb.ACT97371_1.ARO_3003097.CfxA6__uncultured_organism_	0.000144457488843242	0.0254245180364106
gb.AET10444_1.ARO_3004032.tetA.46.__Streptococcus_australis_	0.617587899643862	1
gb.AAB39605_1.ARO_3003361.Planobispora_rosea_EF.Tu_mutants_conferring_resistance_to_inhibitor_GE2270A__Planobispora_rosea_	0.000363664389890748	0.0640049326207717
gb.WP_041918279_1.ARO_3003925.Haemophilus_parainfluenzae_parC_conferring_resistance_to_fluoroquinolones__Haemophilus_parainfluenzae_	1.56536766570748e-05	0.00275504709164517
gb.AQA08261_1.ARO_3004097.Streptococcus_mitis_CdsA_with_mutation_conferring_daptomycin_resistance__Streptococcus_oralis_	0.792922753535863	1
gb.NP_415434_1.ARO_3003950.msbA__Escherichia_coli_str__K.12_substr__MG1655_	1.67536453625514e-09	2.94864158380905e-07
gb.YP_001693238.ARO_3003923.oqxB__Escherichia_coli_	1.67536453625515e-09	2.94864158380906e-07
gb.AAA23033_2.ARO_3000190.tetO__Campylobacter_jejuni_	0.108222544285103	1
gb.BAE77595_1.ARO_3003303.Escherichia_coli_gyrB_conferring_resistance_to_aminocoumarin__Escherichia_coli_str__K.12_substr__W3110_	1.91285138749348e-08	3.36661844198853e-06
gb.AAK76136_1.ARO_3000025.patB__Streptococcus_pneumoniae_TIGR4_	0.270010134844659	1
gb.BAE77933_1.ARO_3000518.CRP__Escherichia_coli_str__K.12_substr__W3110_	6.06172817709698e-08	1.06686415916907e-05
gb.CAA79727_1.ARO_3000191.tetQ__Bacteroides_fragilis_	0.000325365532715549	0.0572643337579366
gb.AAC76093_1.ARO_3002986.bacA__Escherichia_coli_str__K.12_substr__MG1655_	5.44817033843499e-07	9.58877979564558e-05
gb.CDJ72759.ARO_3003899.Escherichia_coli_PtsI_with_mutation_conferring_resistance_to_fosfomycin__Escherichia_coli_str__K.12_substr__MC4100_	5.44817033843499e-07	9.58877979564558e-05
gb.BAC67143_1.ARO_3000166.tet.B.__Gram.negative_bacterium_TC71_	0.00682644690506036	1
gb.NP_417169_1.ARO_3000516.emrR__Escherichia_coli_str__K.12_substr__MG1655_	0.000113829124348877	0.0200339258854024
gb.AEA37904_1.ARO_3003112.lsaC__Streptococcus_agalactiae_	0.027329891548064	1
gb.CAD09823_1.ARO_3003479.tetR__Salmonella_enterica_subsp__enterica_serovar_Typhi_str__CT18_	0.00388072362045297	0.683007357199722
gb.WP_000420313_1.ARO_3000616.mel__Bacteria_	1.16059583359173e-05	0.00204264866712145
gb.AAG03357_1.ARO_3000596.ErmX__Corynebacterium_striatum_	0.0517577588905904	1
gb.AMP35312_1.ARO_3002831.vgaC__Enterobacter_cloacae_	3.05157626683525e-05	0.00537077422963005
gb.CDO13981_1.ARO_3003585.Klebsiella_mutant_PhoP_conferring_antibiotic_resistance_to_colistin__Klebsiella_pneumoniae_	3.05157626683524e-05	0.00537077422963002
gb.AAC76055_1.ARO_3003308.Escherichia_coli_parC_conferring_resistance_to_fluoroquinolone__Escherichia_coli_str__K.12_substr__MG1655_	7.84316459001453e-05	0.0138039696784256
gb.NP_415804_1.ARO_3004045.antibiotic_resistant_fabI__Escherichia_coli_str__K.12_substr__MG1655_	7.84316459001453e-05	0.0138039696784256
gb.AAN28721_1.ARO_3002871.tet37__uncultured_bacterium_	0.0343600722681821	1
gb.EEK14408_1.ARO_3003931.Capnocytophaga_gingivalis_gyrA_conferring_resistance_to_fluoroquinolones__Capnocytophaga_gingivalis_ATCC_33624_	0.00361397330524517	0.63605930172315
gb.BAP68758_1.ARO_3001855.ACT.35__Enterobacter_cloacae_	0.00019748061409454	0.034756588080639
gb.YP_489794_1.ARO_3000263.marA__Escherichia_coli_str__K.12_substr__W3110_	0.000197480614094541	0.0347565880806393
