# ARGs	A2	A5	A7	A9	A10	A11	A16	A17	A18	A19	A22	A23	B6	B8	B12	B28	B29	B30	B32	B34	B35a	B35b	B37	B39	B42	B44	B47	B49	B51	C53	C54	C57	C60	C62
patA__Streptococcus_pneumoniae_TIGR4_	55.55099313	0	2.577387503	4.065846197	1.410229118	0	0	0	3.03731753	0.936811809	0	0	67.57274383	0	45.39413644	15.01984721	7.002181239	0	9.438956674	93.04787469	45.92144422	0.419873137	0.780649651	2.283655504	12.28231218	92.30384793	0	5.854982625	0.341613959	0	84.02072791	0.237630089	11.72996224	53.30315193
mefA__Exiguobacterium_sp__S3-2_	129.0309946	0	74.37185531	0	74.2720669	70.3826451	4.431054153	0	1.342892796	0	0	531.9850704	103.8165454	0	54.14745589	25.28917156	1.305883659	0	24.58061634	32.01420714	34.32886892	7.371106184	10.27855374	28.0682668	22.15302882	100.9776294	210.5589413	49.73587391	0	1.712532113	87.52159158	0	3.134019944	74.36160562
rpsJ__Neisseria_gonorrhoeae_FA_1090_	62.98462111	0	0	0	7.553091549	42.94534278	0	0	0	0	0	0	126.6913774	0	0	30.86136191	9.561724417	0	2.999668435	198.596607	11.08928567	6.746436168	4.181106606	11.77440005	0	38.30026437	0	18.96707056	0	0	0	1.272730645	0	27.22390985
tetB(60)__uncultured_bacterium_	5.418218514	0	1.426798183	0	0	0	0	0	0.086949893	0	0	0	3.360967296	0	0.159361381	1.637428374	2.117915328	0	0	5.138450903	0.437930291	0.876904155	0	1.022270508	0.204909825	2.597364462	0	2.113327376	0	0	0	0	0.608766464	1.444434066
ErmB__Enterococcus_faecium_	0.975864665	0	1.458271673	0	0	18.63070017	0.58646305	0	0	0	0	0	0	0.397529597	9.946337485	21.86769541	0	0	0	0.706195746	24.26777827	4.390144124	0	0	0	94.25113865	55.73619036	4.223892233	0	0	0	0	0	14.30367355
Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_Pulvomycin__Escherichia_coli_CFT073_	20.41809146	75.60053626	30.51153038	108.0123916	0	0	245.41223	10.07283617	0	140.5217714	149.7609067	0	0	116.4455928	368.0512386	420.1893121	65.09327776	13.23961276	1061.882626	0	33.55219767	214.3290875	0	48.57969253	122.6936981	0	0	17.21626405	24.91154099	512.1788349	0	46.20991264	208.2917871	164.7395571
tetA(60)__uncultured_bacterium_	10.74075904	0	5.195649519	0	8.550934481	0	0	0	0	0	0	0	0	0	0.414041719	0	3.133486531	0	0.348386688	3.000227595	2.020831245	0.701771184	0	6.617906161	2.269961754	1.111612888	0	4.445882595	0.106250011	0	0	0	0.527218308	1.250942898
Haemophilus_parainfluenzae_gyrA_conferring_resistance_to_fluoroquinolones__Haemophilus_parainfluenzae_	10.83202335	0	1.437137301	0	23.45433692	133.3565907	0	0	0	0	0	335.9905708	0	0	0	0	0	0	0	0	50.23872161	1.922897265	0	0	59.96308553	25.85486954	0	6.188531222	0	0	0	0	0	14.08956738
tetB(46)__Streptococcus_australis_	20.73712414	0	40.28475496	0	10.44450941	0	0	0	0	0	0	0	14.59920169	0	7.345486244	14.225159	11.75295293	0	0	4.501997879	28.3970423	3.437303402	0	18.25533758	34.23798977	2.03623843	0	13.32210908	0	0	0	0	14.10308975	10.45710079
ErmF__Bacteroides_fragilis_	2.552261432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.796016473	0	0	0	0	8.837489528	0	30.96150712	0	0	0	0	0	0
CfxA6__uncultured_organism_	4.423919816	0	21.03446413	0	0	140.7652902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.11607138	0	0	0	3.302314855	0	0	16.95541156	0	0	0	0	0	0
tetA(46)__Streptococcus_australis_	21.45733563	0	62.54863729	0	18.67920245	0	0	0	0	0	0	0	11.18980729	0	0	0	11.82332989	0	0	0	24.23214276	1.588980974	2.954314847	16.84096008	32.55138929	1.176628794	0	1.865095272	0	0	0	0	13.88611914	29.74464225
Planobispora_rosea_EF-Tu_mutants_conferring_resistance_to_inhibitor_GE2270A__Planobispora_rosea_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.15476184	5.528329638	0	1.754266675	25.31774722	10.91650047	0	9.325476358	0	0	0	0	0	0
Haemophilus_parainfluenzae_parC_conferring_resistance_to_fluoroquinolones__Haemophilus_parainfluenzae_	20.41809146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190.1291202	0	0	0	122.6936981	0	0	0	0	0	0	0	0	0
Streptococcus_mitis_CdsA_with_mutation_conferring_daptomycin_resistance__Streptococcus_oralis_	169.8785209	0	0	0	6.701239119	0	0	0	0.726979559	0	0	0	0	0	106.3259134	0	0	0	0	291.9695691	33.55219767	0	0	0	0	151.151545	0	0.841396363	0	0.927085054	0	0	0	16.10236272
msbA__Escherichia_coli_str__K-12_substr__MG1655_	0	120.960858	7.627882596	121.5139406	34.27941549	194.9057864	374.2536508	5.036418087	0	102.6889868	380.1623017	0	0	170.509618	265.8147834	0	0	6.619806381	40.84163946	0	5.592032946	122.4737643	18.97579152	111.7332928	87.63835577	0	0	0	0	0	0	5.77623908	225.649436	0
oqxB__Escherichia_coli_	20.41809146	241.921716	106.7903563	486.0557623	68.55883098	0	957.1076971	10.07283617	0	172.9498725	506.8830689	0	0	41.5877117	354.4197113	0	0	79.43767658	136.1387982	0	11.18406589	785.8733208	0	408.0694173	297.9704096	0	0	0	0	0	0	23.10495632	1197.677776	41.18488926
tetO__Campylobacter_jejuni_	53.08703779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.350590586	0	0	0	10.90446424	3.316997783	0	0	17.08947937	0	0	0	2.698750274	0	0	0	5.6412359	0
Escherichia_coli_gyrB_conferring_resistance_to_aminocoumarin__Escherichia_coli_str__K-12_substr__W3110_	0	157.2491154	79.329979	333.4882591	0	0	701.8789779	379.7459238	19.33765627	252.9391885	868.6132589	0	0	540.6402521	691.118437	0	0	0	141.5843501	0	0	1127.779246	49.33705795	252.6144012	546.86334	0	0	0	0	0	630.1554594	45.05466482	1511.851221	0
patB__Streptococcus_pneumoniae_TIGR4_	28.15221701	0	0	0	0	0	0	0	0	0	0	0	0	0	8.96004888	0	2.84920071	0	5.363043565	0	34.30617964	0	0	2.128773044	6.904840151	45.26054691	0	1.695541156	0	0	0	0	3.418930848	40.56087579
CRP__Escherichia_coli_str__K-12_substr__W3110_	0	166.3211798	45.76729558	364.5418217	0	0	969.3783086	221.6023958	0	313.4716439	541.4432781	0	0	415.877117	749.7340046	0	0	52.95845105	1061.882626	0	11.18406589	1020.614702	0	330.3419092	508.3024635	0	0	0	0	0	0	23.10495632	1336.538967	0
tetQ__Bacteroides_fragilis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.77578791	11.18406589	0	0	0	0	0	0	0	0	0	0	0	0	0
